Titre original,Note press,Notes spectateur,id allocine,Box office,date,duree_minutes,Nombre_de_critiques_presse,Nombre_de_notes_spectateurs,Nombre_de_critiques_spectateurs
The Lost Future,,1.5,192932,,2012-03-07,90.0,,123.0,28.0
Nine Dead,,1.8,182263,,2017-08-14,98.0,,338.0,100.0
Altitude,,1.9,176818,,2011-10-13,90.0,,198.0,54.0
Avalon High,,2.7,183629,,2020-03-24,95.0,,151.0,16.0
Meteor Apocalypse,,1.4,183211,,2011-04-05,90.0,,33.0,8.0
Once Fallen,,1.8,140488,,2012-02-01,93.0,,43.0,5.0
Caught in the crossfire,,2.1,146995,,2011-02-22,85.0,,30.0,5.0
Ca$h,,2.4,180711,,2010-09-28,103.0,,110.0,24.0
Turbulent Skies,,1.7,190456,,2017-06-15,82.0,,27.0,9.0
Mysterious Island,,1.3,205454,,2012-04-17,101.0,,66.0,28.0
Kung Fu Panda Holiday Special,,3.4,207025,,2022-12-17,21.0,,95.0,8.0
Revenge of the Bridesmaids,,3.0,200990,,2011-01-05,95.0,,85.0,5.0
Catch .44,,1.7,182451,,2012-04-24,94.0,,286.0,52.0
Sherlock Holmes,,1.7,183011,,2019-06-19,90.0,,67.0,17.0
The King of Fighters,,1.0,187558,,2011-08-02,,,119.0,40.0
Jack Goes Boating,2.7,2.6,138727,38415.0,2010-12-29,91.0,21.0,210.0,51.0
The Romantics,,1.9,174721,,2018-02-02,95.0,,303.0,29.0
New York'ta Beş Minare,,2.2,186864,,2012-04-25,98.0,,160.0,32.0
Dinoshark,,1.3,196610,,2012-07-04,92.0,,60.0,12.0
House Swap,,1.4,224607,,2013-12-03,87.0,,75.0,28.0
Street Dancing Ninja,,1.8,229693,,2014-10-07,97.0,,33.0,8.0
"Love, Wedding, Marriage",,2.6,180133,,2021-08-12,87.0,,71.0,8.0
Icarus,,1.8,181630,,2010-06-01,88.0,,86.0,30.0
5 Days of War,,2.7,170826,,2011-09-01,113.0,,155.0,31.0
Born to Raise Hell,,1.9,186120,,2010-09-07,98.0,,65.0,20.0
Mega Shark vs Crocosaurus,,1.5,223015,,2011-11-16,88.0,,51.0,7.0
Gatos Viejos,3.4,3.2,191624,90140.0,2012-04-25,89.0,22.0,221.0,38.0
Passion Play,,2.0,144630,,2012-09-11,,,81.0,19.0
Holy Rollers,3.1,2.5,132642,67948.0,2011-02-16,89.0,19.0,691.0,110.0
The 41 Year Old Virgin Who Knocked Up Sarah Marshall And Felt Superbad About It,,1.2,180989,,2021-01-19,82.0,,64.0,15.0
The Virginity Hit,,1.8,184210,,2019-07-01,90.0,,50.0,9.0
Smokin' Aces 2: Assassins' Ball,,1.7,140438,,2010-04-27,86.0,,186.0,42.0
Midnight Chronicles,,1.7,147184,,2021-07-28,109.0,,26.0,12.0
Stonehenge Apocalypse,,1.7,198486,,2011-02-05,89.0,,39.0,13.0
L.A. Zombie,2.0,1.3,184248,628.0,2011-12-07,103.0,9.0,36.0,9.0
First Dog,,3.5,195580,,2012-08-07,90.0,,22.0,7.0
My Own Love Song,2.2,2.6,134458,57928.0,2010-04-07,105.0,22.0,489.0,109.0
Sharktopus,,1.2,185010,,2011-03-14,89.0,,111.0,20.0
Hunt to Kill,,2.3,192046,,2011-03-01,93.0,,69.0,17.0
Frankie & Alice,,3.5,135714,,2015-03-05,102.0,,86.0,12.0
Justice League: Crisis On Two Earths,,3.6,174424,,2023-11-30,75.0,,108.0,15.0
Our Family Wedding,1.7,2.4,170661,19339000.0,2011-01-05,103.0,3.0,161.0,20.0
The Violent Kind,,1.9,194907,,2012-01-04,85.0,,222.0,74.0
Beneath the Blue,,2.7,189105,,2012-03-01,85.0,,20.0,5.0
Hisss,,1.4,137224,,2012-09-18,98.0,,60.0,19.0
House of Bones,,1.6,198507,,2020-05-04,90.0,,63.0,15.0
The 7 Adventures Of Sinbad,,1.5,183216,,2012-02-08,90.0,,15.0,5.0
Across the Line : The Exodus of Charlie Wright,,2.2,183459,,2011-07-01,94.0,,29.0,10.0
The Stranger,,1.5,145379,,2010-09-23,91.0,,48.0,14.0
Circle of Pain,,2.0,182760,,2010-09-22,89.0,,31.0,7.0
Scared Shrekless,,3.6,187252,,2023-10-21,21.0,,196.0,19.0
Kill Katie Malone,,1.8,196447,,2011-10-04,90.0,,48.0,10.0
Wolf Town,,1.4,198142,,2021-10-16,84.0,,22.0,5.0
Cyrus,3.1,2.1,178151,6900000.0,2010-09-15,92.0,18.0,449.0,87.0
Phineas and Ferb: Across the Second Dimension,,3.6,194972,,2020-03-24,78.0,,113.0,7.0
The Lazarus Papers,,1.4,186067,,2012-04-11,90.0,,25.0,9.0
Prowl,,1.6,185088,,2012-02-07,81.0,,105.0,35.0
Bloodrayne: The Third Reich,,1.3,131193,,2013-02-05,86.0,,93.0,24.0
Cold Fusion,,1.4,192601,,2011-11-09,86.0,,26.0,8.0
Abel,3.6,3.2,171730,7659.0,2011-01-12,83.0,19.0,61.0,18.0
XTinction: Predator X,,1.4,196918,,2017-06-14,90.0,,28.0,7.0
The Presence,,1.7,212746,,2012-12-04,87.0,,106.0,32.0
Road To Nowhere,3.1,2.3,172226,9492.0,2011-04-13,121.0,18.0,83.0,24.0
Playing House,,2.2,209985,,2012-12-03,84.0,,35.0,7.0
A Soldier's Love Story (TV),,3.3,180508,,2021-02-01,88.0,,49.0,7.0
2001 Maniacs: Field of Screams,,1.1,201711,,2012-01-19,84.0,,40.0,8.0
Fight or Flight,,1.5,192773,,2011-05-17,82.0,,46.0,13.0
Superman/Batman : Apocalypse,,3.6,198635,,2020-10-08,78.0,,221.0,24.0
Sinners & Saints,,3.1,171044,,2011-10-13,,,13.0,7.0
Fertile Ground,,1.8,190195,,2012-03-06,95.0,,44.0,19.0
Two Gates of Sleep,3.0,3.0,180621,812.0,2011-12-14,78.0,12.0,68.0,17.0
See You in September,,1.9,198178,,2011-06-22,87.0,,18.0,5.0
Bear,,1.5,182310,,2011-07-06,90.0,,27.0,9.0
Locked Down,,1.7,192191,,2012-03-01,99.0,,33.0,10.0
Atlantis Down,,1.3,186279,,2012-01-17,95.0,,32.0,8.0
Putty Hill,3.7,2.2,179738,2651.0,2011-09-07,87.0,11.0,81.0,26.0
Chuzhaya,,2.3,188651,254.0,2011-12-07,100.0,,44.0,10.0
Deadly Honeymoon,,2.7,193533,,2012-07-04,89.0,,24.0,6.0
Hypothermia,,1.2,205143,,2012-09-05,72.0,,81.0,22.0
Necrosis,,1.6,183644,,2010-07-06,5.0,,24.0,10.0
Titanic 2,,0.9,183107,,,90.0,,172.0,61.0
Lying to Be Perfect,,3.3,147434,,,89.0,,190.0,21.0
Undisputed III: Redemption,,4.0,187458,,,97.0,,415.0,41.0
Chalet Girl,,3.3,182145,,,96.0,,302.0,20.0
Sundays at Tiffany's,,3.7,205649,,,88.0,,82.0,6.0
Bloomington,,3.6,186396,,,83.0,,116.0,11.0
The Rig,,1.8,198069,,,94.0,,24.0,8.0
2010: Moby Dick,,1.6,211160,,,87.0,,24.0,5.0
Inhale,,3.3,177893,,2011-05-03,100.0,,178.0,43.0
The Client List,,3.0,201349,,,115.0,,134.0,13.0
Why Did I Get Married Too?,,3.5,193230,,,116.0,,72.0,8.0
Peacock,,3.1,134216,,,90.0,,144.0,25.0
Group Sex,,2.2,133992,,,88.0,,107.0,17.0
The Cutting Edge: Fire & Ice,,3.7,186490,,,90.0,,64.0,5.0
Letters to God,,3.3,203993,2020830.0,,110.0,,33.0,9.0
MacGruber,,2.7,170659,7216320.0,,90.0,,228.0,44.0
Bereavement,,2.5,190208,,,103.0,,52.0,13.0
The River Why,,2.6,137701,,,101.0,,63.0,8.0
Birdemic: Shock and Terror,,1.2,178871,,,105.0,,127.0,39.0
Shanghai,,3.4,132964,,,,,20.0,6.0
Triassic Attack,,1.4,206178,,,87.0,,68.0,14.0
Pregnancy Pact (TV),,2.5,185262,,,87.0,,134.0,10.0
Batman XXX: A Porn Parody,,2.9,188232,,,,,31.0,5.0
Beatdown,,2.4,187999,,,90.0,,43.0,7.0
Elektra Luxx,,1.9,141705,,,100.0,,62.0,7.0
